system,planet,msini_mjup,swept,edge_on_survival,ceiling_factor,m95_factor,mass_ceiling_mjup,mass_95_mjup,inc_floor_deg,t_max_yr
HD 33142,HD 33142 d,0.2,True,1.0,,2.9921651744703697,,0.598433034894074,,24613.290415592266
HD 33142,HD 33142 b,1.26,True,1.0,,2.9921651744703697,,3.7701281198326657,,24613.290415592266
HD 33142,HD 33142 c,0.89,True,1.0,,2.9921651744703697,,2.663027005278629,,24613.290415592266
GJ 667 C,GJ 667 C b,0.01789,True,0.35,1.624269245482744,1.8868058868821924,0.029058176801686292,0.03375495731632242,38.0,1972.0747026950135
GJ 667 C,GJ 667 C c,0.012,True,0.35,1.624269245482744,1.8868058868821924,0.01949123094579293,0.02264167064258631,38.0,1972.0747026950135
GJ 667 C,GJ 667 C f,0.008,True,0.35,1.624269245482744,1.8868058868821924,0.012994153963861953,0.01509444709505754,38.0,1972.0747026950135
GJ 667 C,GJ 667 C e,0.008,True,0.35,1.624269245482744,1.8868058868821924,0.012994153963861953,0.01509444709505754,38.0,1972.0747026950135
GJ 667 C,GJ 667 C g,0.014,True,0.35,1.624269245482744,1.8868058868821924,0.022739769436758418,0.026415282416350695,38.0,1972.0747026950135
HD 184010,HD 184010 b,0.31,True,1.0,4.283657569731186,2.5142319410837266,1.3279338466166675,0.7794119017359552,13.5,78466.84233640041
HD 184010,HD 184010 c,0.3,True,1.0,4.283657569731186,2.5142319410837266,1.2850972709193555,0.754269582325118,13.5,78466.84233640041
HD 184010,HD 184010 d,0.45,True,1.0,4.283657569731186,2.5142319410837266,1.9276459063790337,1.131404373487677,13.5,78466.84233640041
HD 164922,HD 164922 d,0.01258534,True,0.9,,3.030804031055452,,0.03814369920420342,,3410.8161424742775
HD 164922,HD 164922 e,0.0331,True,0.9,,3.030804031055452,,0.10031961342793545,,3410.8161424742775
HD 164922,HD 164922 c,0.04090237,True,0.9,,3.030804031055452,,0.12396706787572158,,3410.8161424742775
HD 164922,HD 164922 b,0.36497499,True,0.9,,3.030804031055452,,1.1061676709264232,,3410.8161424742775
HD 1605,HD 1605 b,0.934,True,1.0,,3.2025630761017436,,2.991193913079029,,158028.81888716313
HD 1605,HD 1605 c,3.62,True,1.0,,3.2025630761017436,,11.593278335488312,,158028.81888716313
HD 159868,HD 159868 c,0.768,True,1.0,,3.2025630761017436,,2.4595684424461393,,96098.60012881951
HD 159868,HD 159868 b,2.218,True,1.0,,3.2025630761017436,,7.103284902793667,,96098.60012881951
TOI-375,TOI-375 b,0.745,False,1.0,,3.2025630761017436,,,,2588.5542702208286
TOI-375,TOI-375 c,2.106,True,1.0,,3.2025630761017436,,6.744597838270272,,2588.5542702208286
TOI-375,TOI-375 d,1.402,True,1.0,,3.2025630761017436,,4.489993432694645,,2588.5542702208286
75 Cet,75 Cet b,2.479,True,1.0,,3.057446401762336,,7.579409629968831,,190724.2518701145
75 Cet,75 Cet c,0.912,True,1.0,,3.057446401762336,,2.7883911184072505,,190724.2518701145
rho CrB,rho CrB e,0.01167297,True,1.0,,3.2025630761017436,,0.03738342271044337,,3532.9243356209295
rho CrB,rho CrB b,1.09491472,True,1.0,,3.2025630761017436,,3.5065334537522794,,3532.9243356209295
rho CrB,rho CrB c,0.08634219,True,1.0,,3.2025630761017436,,0.2765163096037612,,3532.9243356209295
HD 107148,HD 107148 c,0.0626,True,0.75,9.566772233505626,2.8736848324283986,0.5988799418174522,0.17989267051001775,6.000000000000001,5017.57918725307
HD 107148,HD 107148 b,0.21,True,0.75,9.566772233505626,2.8736848324283986,2.0090221690361814,0.6034738148099636,6.000000000000001,5017.57918725307
HD 177830,HD 177830 c,0.15,True,1.0,,3.2025630761017436,,0.48038446141526153,,30362.77837965464
HD 177830,HD 177830 b,1.69,True,1.0,,3.2025630761017436,,5.412331598611947,,30362.77837965464
YZ Cet,YZ Cet b,0.00220245,True,0.9,9.566772233505626,2.9672447459630056,0.021070337505684465,0.006535208190746222,6.000000000000001,553.2843196656058
