system,planet,msini_mjup,swept,ceiling_factor,mass_ceiling_mjup,inc_floor_deg,t_max_yr
HD 219134,HD 219134 g,0.034,True,,,,846.7974117232748
HD 219134,HD 219134 h,0.34,True,,,,846.7974117232748
YZ Cet,YZ Cet b,0.00220245,True,,,,553.284231072273
YZ Cet,YZ Cet c,0.00358684,True,,,,553.284231072273
YZ Cet,YZ Cet d,0.00342952,True,,,,553.284231072273
HD 189567,HD 189567 b,0.02674399,True,,,,3911.8418793145897
HD 189567,HD 189567 c,0.02202446,True,,,,3911.8418793145897
HD 28471,HD 28471 b,0.01170443,True,,,,866.5026189250062
HD 28471,HD 28471 c,0.01799713,True,,,,866.5026189250062
HD 28471,HD 28471 d,0.01544859,True,,,,866.5026189250062
GJ 887,GJ 887 e,0.00459367,True,,,,1211.472200441675
GJ 887,GJ 887 b,0.01227077,True,,,,1211.472200441675
GJ 887,GJ 887 c,0.02045129,True,,,,1211.472200441675
GJ 887,GJ 887 d,0.01919275,True,,,,1211.472200441675
Kepler-68,Kepler-68 b,0.02526521,False,,,,1478.0980835109203
Kepler-68,Kepler-68 c,0.00409026,False,,,,1478.0980835109203
Kepler-68,Kepler-68 d,0.84007174,False,,,,1478.0980835109203
Kepler-68,Kepler-68 e,0.272,True,,,,1478.0980835109203
K2-18,K2-18 c,0.02362898,True,,,,2453.6621083204645
K2-18,K2-18 b,0.02806532,False,,,,2453.6621083204645
HD 20003,HD 20003 b,0.0367,True,,,,3243.8603696496302
HD 20003,HD 20003 c,0.0454,True,,,,3243.8603696496302
HD 20781,HD 20781 b,0.0061,True,,,,1454.757080161765
HD 20781,HD 20781 c,0.0168,True,,,,1454.757080161765
HD 20781,HD 20781 d,0.0334,True,,,,1454.757080161765
HD 20781,HD 20781 e,0.0442,True,,,,1454.757080161765
Kepler-56,Kepler-56 b,0.07,False,,,,2875.1824918910315
Kepler-56,Kepler-56 c,0.57,False,,,,2875.1824918910315
Kepler-56,Kepler-56 d,5.61,True,,,,2875.1824918910315
TOI-6695,TOI-6695 b,0.21,False,,,,22009.317184176703
TOI-6695,TOI-6695 c,1.45,True,,,,22009.317184176703
HD 104067,HD 104067 c,0.04153184,True,,,,3805.3936514684465
HD 104067,HD 104067 b,0.19538845,True,,,,3805.3936514684465
Wolf 1061,Wolf 1061 b,0.0060095,True,,,,1337.9608080142273
Wolf 1061,Wolf 1061 c,0.01072901,True,,,,1337.9608080142273
Wolf 1061,Wolf 1061 d,0.02422679,True,,,,1337.9608080142273
HD 21693,HD 21693 b,0.0259,True,,,,6209.063789649009
HD 21693,HD 21693 c,0.0547,True,,,,6209.063789649009
L 98-59,L 98-59 b,0.00144732,False,,,,616.8690552132849
L 98-59,L 98-59 c,0.0062927,False,,,,616.8690552132849
L 98-59,L 98-59 d,0.00516002,False,,,,616.8690552132849
L 98-59,L 98-59 e,0.00887271,True,,,,616.8690552132849
L 98-59,L 98-59 f,0.00880979,True,,,,616.8690552132849
Kepler-48,Kepler-48 b,0.01239656,False,,,,1308.1451061183488
Kepler-48,Kepler-48 c,0.04596797,False,,,,1308.1451061183488
Kepler-48,Kepler-48 d,0.025,False,,,,1308.1451061183488
Kepler-48,Kepler-48 e,2.067,False,,,,1308.1451061183488
Kepler-48,Kepler-48 f,0.93944088,True,,,,1308.1451061183488
HD 158259,HD 158259 b,0.00698487,False,,,,596.3039014439246
HD 158259,HD 158259 c,0.01761948,True,,,,596.3039014439246
HD 158259,HD 158259 d,0.01702168,True,,,,596.3039014439246
HD 158259,HD 158259 e,0.01912972,True,,,,596.3039014439246
HD 158259,HD 158259 f,0.0193185,True,,,,596.3039014439246
TOI-5789,TOI-5789 b,0.00667027,True,,,,756.6570842220631
TOI-5789,TOI-5789 c,0.01573176,False,,,,756.6570842220631
TOI-5789,TOI-5789 d,0.01349785,True,,,,756.6570842220631
TOI-5789,TOI-5789 e,0.03652915,True,,,,756.6570842220631
DMPP-6,DMPP-6 b,0.01824884,True,,,,2081.5062745503437
DMPP-6,DMPP-6 c,0.04238136,True,,,,2081.5062745503437
HD 39194,HD 39194 b,0.01453615,True,,,,1543.304998897061
HD 39194,HD 39194 c,0.02356618,True,,,,1543.304998897061
HD 39194,HD 39194 d,0.01623518,True,,,,1543.304998897061
Kepler-129,Kepler-129 b,0.06292704,False,,,,4323.06761781465
Kepler-129,Kepler-129 c,0.13529313,False,,,,4323.06761781465
Kepler-129,Kepler-129 d,8.3,True,,,,4323.06761781465
Barnard's star,Barnard d,0.00082749,True,2.6694671625540143,0.002208957382341821,22.0,640.7120885154409
Barnard's star,Barnard b,0.00094076,True,2.6694671625540143,0.0025113279278443147,22.0,640.7120885154409
Barnard's star,Barnard c,0.00105403,True,2.6694671625540143,0.002813698473346808,22.0,640.7120885154409
Barnard's star,Barnard e,0.00060725,True,2.6694671625540143,0.0016210339344609253,22.0,640.7120885154409
